Iteration,Score,malus_conflict,malus_capacity,malus_spread,bonus_spread
0,-420.2083333333402,-828,-567,-88.54166666666642,63.333333333333194
1,-420.2083333333402,-828,-567,-88.54166666666642,63.333333333333194
2,-420.2083333333402,-828,-567,-88.54166666666642,63.333333333333194
3,-420.2083333333402,-828,-567,-88.54166666666642,63.333333333333194
4,-420.2083333333402,-828,-567,-88.54166666666642,63.333333333333194
5,-413.791666666674,-820,-554,-88.54166666666642,48.74999999999994
6,-413.791666666674,-820,-554,-88.54166666666642,48.74999999999994
7,-413.791666666674,-820,-554,-88.54166666666642,48.74999999999994
8,-413.791666666674,-820,-554,-88.54166666666642,48.74999999999994
9,-402.79166666667436,-832,-531,-88.54166666666642,48.74999999999994
10,-402.79166666667436,-832,-531,-88.54166666666642,48.74999999999994
11,-402.79166666667436,-832,-531,-88.54166666666642,48.74999999999994
12,-391.7916666666743,-826,-526,-88.54166666666642,48.74999999999994
13,-389.541666666674,-820,-526,-92.29166666666633,48.74999999999994
14,-389.541666666674,-820,-526,-92.29166666666633,48.74999999999994
15,-389.541666666674,-820,-526,-92.29166666666633,48.74999999999994
16,-389.541666666674,-820,-526,-92.29166666666633,48.74999999999994
17,-377.54166666667413,-808,-526,-92.29166666666633,48.74999999999994
18,-363.54166666667385,-794,-526,-92.29166666666633,48.74999999999994
19,-334.2083333333388,-788,-511,-83.95833333333321,48.74999999999994
20,-334.2083333333388,-788,-511,-83.95833333333321,48.74999999999994
21,-334.2083333333388,-788,-511,-83.95833333333321,48.74999999999994
22,-334.2083333333388,-788,-511,-83.95833333333321,48.74999999999994
23,-334.2083333333388,-788,-511,-83.95833333333321,48.74999999999994
24,-316.75000000000705,-782,-511,-78.75000000000001,54.99999999999991
25,-316.75000000000705,-782,-511,-78.75000000000001,54.99999999999991
26,-303.541666666674,-774,-501,-78.95833333333333,50.4166666666666
27,-303.541666666674,-774,-501,-78.95833333333333,50.4166666666666
28,-291.2916666666737,-774,-480,-79.375,42.083333333333314
29,-291.2916666666737,-774,-480,-79.375,42.083333333333314
30,-291.2916666666737,-774,-480,-79.375,42.083333333333314
31,-291.2916666666737,-774,-480,-79.375,42.083333333333314
32,-291.2916666666737,-774,-480,-79.375,42.083333333333314
33,-291.2916666666737,-774,-480,-79.375,42.083333333333314
34,-290.7083333333402,-778,-480,-74.79166666666673,42.083333333333314
35,-290.7083333333402,-778,-480,-74.79166666666673,42.083333333333314
36,-289.2916666666737,-776,-486,-69.37500000000018,42.083333333333314
37,-289.2916666666737,-776,-486,-69.37500000000018,42.083333333333314
38,-289.2916666666737,-776,-486,-69.37500000000018,42.083333333333314
39,-243.29166666667308,-764,-452,-69.37500000000018,42.083333333333314
40,-235.37500000000682,-754,-452,-71.45833333333347,42.083333333333314
41,-235.37500000000682,-754,-452,-71.45833333333347,42.083333333333314
42,-235.37500000000682,-754,-452,-71.45833333333347,42.083333333333314
43,-220.54166666667263,-756,-446,-71.45833333333347,52.916666666666586
44,-212.54166666667268,-748,-446,-71.45833333333347,52.916666666666586
45,-212.54166666667268,-748,-446,-71.45833333333347,52.916666666666586
46,-206.54166666667282,-760,-428,-71.45833333333347,52.916666666666586
47,-206.54166666667282,-760,-428,-71.45833333333347,52.916666666666586
48,-206.54166666667282,-760,-428,-71.45833333333347,52.916666666666586
49,-206.54166666667282,-760,-428,-71.45833333333347,52.916666666666586
50,-206.54166666667282,-760,-428,-71.45833333333347,52.916666666666586
51,-204.54166666667263,-758,-428,-71.45833333333347,52.916666666666586
52,-188.54166666667294,-766,-404,-71.45833333333347,52.916666666666586
53,-188.54166666667294,-766,-404,-71.45833333333347,52.916666666666586
54,-188.54166666667294,-766,-404,-71.45833333333347,52.916666666666586
55,-188.54166666667294,-766,-404,-71.45833333333347,52.916666666666586
56,-134.04166666667396,-724,-404,-67.2916666666669,61.24999999999987
57,-98.04166666667436,-688,-404,-67.2916666666669,61.24999999999987
58,-98.04166666667436,-688,-404,-67.2916666666669,61.24999999999987
59,-98.04166666667436,-688,-404,-67.2916666666669,61.24999999999987
