<<<<<<< HEAD
Analysemethoden en -technieken;1;0;;0;
Data Mining;2;1;10;1;10
Lineaire Algebra;2;0;;0;
Software engineering;1;1;40;1;40
Webprogrammeren en databases;2;1;20;1;20
Calculus 2;1;1;40;0;
Architectuur en computerorganisatie;2;0;;0;
Compilerbouw practicum;0;0;;1;15
Project Genetic Algorithms;0;0;;1;15
Advanced Heuristics;1;0;;1;10
Heuristieken 2;1;1;20;0;
Collectieve Intelligentie;3;1;20;1;20
Programmeren in Java 2;0;0;;1;20
Moderne Databases;1;1;20;1;20
Compilerbouw;2;1;40;1;40
Project Numerical Recipes;0;0;;1;15
Informatie- en organsatieontwerp;2;1;15;1;15
Databases 2;1;1;40;0;
Kansrekenen 2;2;0;;0;
Algoritmen en complexiteit;1;1;25;1;25
Netwerken en systeembeveiliging;0;0;;1;20
Interactie-ontwerp;2;0;;0;
Reflectie op de digitale cultuur;2;1;20;0;
Zoeken;0;0;;1;15
Autonomous Agents 2;2;1;10;1;10
Heuristieken 1;1;1;25;0;
Bioinformatica;3;1;20;1;20
Machine Learning;2;0;;0;
Technology for games;2;1;20;0;
=======
Analysemethoden en -technieken;1;0;;0;Data Mining;2;1;10;1;10Lineaire Algebra;2;0;;0;Software engineering;1;1;40;1;40Webprogrammeren en databases;2;1;20;1;20Calculus 2;1;1;40;0;Architectuur en computerorganisatie;2;0;;0;Compilerbouw practicum;0;0;;1;15Project Genetic Algorithms;0;0;;1;15Advanced Heuristics;1;0;;1;10Heuristieken 2;1;1;20;0;Collectieve Intelligentie;3;1;20;1;20Programmeren in Java 2;0;0;;1;20Moderne Databases;1;1;20;1;20Compilerbouw;2;1;40;1;40Project Numerical Recipes;0;0;;1;15Informatie- en organsatieontwerp;2;1;15;1;15Databases 2;1;1;40;0;Kansrekenen 2;2;0;;0;Algoritmen en complexiteit;1;1;25;1;25Netwerken en systeembeveiliging;0;0;;1;20Interactie-ontwerp;2;0;;0;Reflectie op de digitale cultuur;2;1;20;0;Zoeken;0;0;;1;15Autonomous Agents 2;2;1;10;1;10Heuristieken 1;1;1;25;0;Bioinformatica;3;1;20;1;20Machine Learning;2;0;;0;Technology for games;2;1;20;0;
>>>>>>> origin/master
